img_id	img_name	title
118805.jpg	knaller-symbolbild-010119.jpg	Mann wird durch Böller schwer an der Hand verletzt
118806.jpg	daniel-opoku.jpg	Wie der Kölner Daniel Opoku sein altes Leben hinter sich ließ
118807.jpg	buerojob.jpg	„Wer auf Dauer im Beruf unglücklich ist, riskiert einiges“
118808.jpg	silvester-sidney-ap-neu.jpg	Sydneys Feuerwerks-Meister unterläuft peinlicher Fehler
118809.jpg	kim-jong-un-bei-rede-010119.jpg	Kim Jong Un droht mit Abkehr vom Annäherungskurs
118810.jpg	foess-silvester-decker.jpg	Über 13.000 Fans verabschieden Bassist Hartmut Priess
118812.jpg	tokio-dpa-unfall.jpg	Mann rast mit Auto in Menschenmenge
118813.jpg	boeller-dpa-neu.jpg	Zwei Männer durch selbstgebaute Böller schwer verletzt
118814.jpg	feuerwehr-dpa-symbol-010119.jpg	Silvesterfeier mit betrunkenem Gastgeber eskaliert
118816.jpg	opladen-bahnhof-aufzug.jpg	In Opladen wächst die Bahnstadt – Autobahn bleibt Dauerthema
118817.jpg	rennes-afp-neu.jpg	Acht Menschen sitzen in 50 Meter Höhe in Karussell fest
118818.jpg	bahnuebergang-symbolbild-dpa.jpg	Mann stirbt am Neujahrsmorgen an Bahnübergang
118819.jpg	pool-billard-weltmeister-281218.jpg	Sankt Augustiner ist jüngster Weltmeister im Billardsport
118820.jpg	duerscheid-dorfplatz-271218.jpg	Förderagentur Leader will Dürscheid helfen – Infotreffen Ende Januar
118821.jpg	veranstaltungskalender-2019-nationalpark-eifel-2.jpg	Diese Veranstaltungen erwarten Gäste im Nationalpark Eifel
118822.jpg	feuerwehr-silvester-tiefgarage-1.jpg	Feuerwehr spricht von ruhigem Silvester – Brand in Garage
118823.jpg	koeln-feuerwerk-weiser-2.jpg	So schön hat Köln den Jahreswechsel gefeiert
118824.jpg	balkon-brennt.jpg	Balkon stand in Flammen – Silvesterrakete wohl Auslöser
118825.jpg	silvester-2018.jpg	Zahl gemeldeter Brände mehr als versiebenfacht
118826.jpg	milchstrasse-ueber-kreta.jpg	Kölner Fotograf reist für Bilder vom Sternenhimmel um die ganze Welt
118827.jpg	goering-eckardt-november-2018.jpg	Göring-Eckardt will neue Behörden nur noch im Osten ansiedeln
118828.jpg	symbolbild-u-bahn.jpg	Mann gerät in Düsseldorf unter U-Bahn – lebensgefährlich verletzt
118829.jpg	manchester-1.jpg	Polizei stuft Messerattacke in Manchester als Terrorismus ein
118830.jpg	unfall-burscheid-b51-3.jpg	Zwei Schwerverletzte nach Kollision auf B51 bei Burscheid
118831.jpg	tatort-1.jpg	Bud Spencer, Karl May und ein bisschen Krimi
118833.jpg	robert-habeck-0119.jpg	Habeck widerspricht Nahles zu bedingungslosem Grundeinkommen
118834.jpg	kloster-maria-frieden.jpg	Wie die Abtei „Maria Frieden“ ihren Namen erhielt
118835.jpg	b2-tweet-silvester.jpg	US-Militär entschuldigt sich für zynischen Tweet
118836.jpg	rennbahn-1.jpg	Silvesterzauber auf der Rennbahn
118837.jpg	susanne-dettlaff-281218.jpg	Wirtschaftsförderin Susanne Dettlaff verlässt Frechener Rathaus
118838.jpg	unfall-rhein-berg-silvester.jpg	Zahlen leicht unter Durchschnitt – Brände und Einbrüche
118840.jpg	feuerwehr-symbolbild-dpa.jpg	Mädchen bewahrt Elternhaus vor Feuer
118841.jpg	010119silvesternacht101.jpg	Touristin auf Toilette vergewaltigt
118842.jpg	rettungskraefte-silvesternacht.jpg	Angriffe auf Einsatzkräfte und Streitschlichter in der Neujahrsnacht
118843.jpg	polizist-zieht-waffe-vor-polizeiauto.jpg	Quettinger bedroht Nachbarn mit Schreckschusspistole
118844.jpg	schindler-kiel.jpg	Verstärkt Kevin Schindler im Januar den 1. FC Köln?
118845.jpg	5f9c42006fe98e4a.jpg	Kobayashi siegt erneut knapp vor Eisenbichler
118846.jpg	kita-symbol.jpg	So setzen die Bundesländer das „Gute-Kita-Gesetz“ um
118847.jpg	verkehrsminister-andreas-scheuer.jpg	„Pkw-Maut startet im Oktober 2020“
118849.jpg	71-142144886--null--30-12-2018-16-19-52-856-.jpg	Wie die neue Partei „Volt“ 2019 durchstarten will
118850.jpg	lanxess-arena-symbolbild.jpg	Diese Musiker wollen 2019 die Lanxess-Arena füllen
118851.jpg	neujahrsbaby-dimitra-1-010119.jpg	Dimitra kam kurz nach Mitternacht
118852.jpg	190101-uw-feuerwerk-001.jpg	Auf Nummer sicher ins neue Jahr
118855.jpg	russland-baby-explosion.jpg	Baby überlebt Nacht in eisiger Kälte
118856.jpg	tatort-2.jpg	Kurzweilige Western-Parodie mit schwacher Auflösung
118857.jpg	symbolbild-rente.jpg	Verdi kündigt Warnstreiks bei Geldtransporten an
118858.jpg	innenminister-horst-seehofer-0119.jpg	Seehofer fordert nach Angriffen in Amberg schärfere Gesetze
118860.jpg	5f9c4200f1c013d8.jpg	Van Gerwen setzt sich gegen Smith die Darts-Krone auf
118862.jpg	jacky-elaine-sorgte-mit-liedern-von-helene-fischer-fuer-tanzspass-.jpg	Auftakt der Burscheider Silvesterfeier geglückt
118863.jpg	eine-luxuslimousine-kam-nach-dem-unfall-auf-der-beifahrerseite-zum-stillstand--fahrzeugeteile-wurden-verstreut-.jpg	Zwei Schwerverletzte nach Unfall auf B51
118864.jpg	die-spielfreude-der-bayer-philharmoniker-machte-das-konzert-zu-einem-ereignis-.jpg	Letzter Höhepunkt des Jahres
118865.jpg	hinterlassenschaften-der-nacht.jpg	Hinterlassenschaften der Nacht
118868.jpg	dom-silvester-polizei.jpg	Die neue Normalität in der Kölner Silvesternacht
118869.jpg	71-142200744--null--01-01-2019-16-16-15-830-.jpg	Fährmann Weibarth über Niedrigwasser und Überschwemmungen vom Rhein
118870.jpg	grieche-opladen-laden-1.jpg	Traditionsreicher Laden „Der Grieche“ schließt in Opladen
118871.jpg	obst-und-gemuese-dpa.jpg	7 Fallen beim Essen – und wie Sie sie vermeiden
118872.jpg	71-142209532--null--01-01-2019-18-39-58-512-.jpg	Troidorfer Icedome Publikumsmagnet an Neujahr
118873.jpg	begraebniswald-reuterstrasse.jpg	Pläne für Waldfriedhof wecken in Overath Stirnrunzeln
118876.jpg	weisses-haus-020119.jpg	Trump will „Deal“ mit Demokraten machen
118877.jpg	nashorn-zoo-symbol.jpg	Kind in Zoo in den USA von Nashorn attackiert
118878.jpg	euromuenzen.jpg	Euro-Staaten wollen Münzen im Milliardenwert produzieren
118879.jpg	michael-schumacher.jpg	Michael Schumachers Familie hat Botschaft an die Fans
118923.jpg	71-142203257--null--01-01-2019-19-10-07-527-.jpg	Die Kölner Kultur-Highlights für das Jahr 2019
118881.jpg	bolsonaro-vereidigung.jpg	Bolsonaro will „Befreiung vom politisch Korrekten“ – Beifall von Trump
118882.jpg	71-142209582--null--01-01-2019-19-07-21-102-.jpg	Viele Einsätze in der Silvesternacht für Bonner Polizei
118883.jpg	71-142207635--null--01-01-2019-18-09-12-194-.jpg	So unterschiedlich hat Rhein-Berg das neue Jahr begrüßt
118884.jpg	leverkusen-autobahnbruecke-krieger2.jpg	Einstehen für Menschen, die hier leben
