118805.jpg	knaller-symbolbild-010119.jpg	Mann wird durch Böller schwer an der Hand verletzt	Man is heavily injured by Böller's hand	Böller
118806.jpg	daniel-opoku.jpg	Wie der Kölner Daniel Opoku sein altes Leben hinter sich ließ	As the Cologne Daniel Opoku left his old life behind	Cologne Daniel,Opoku
118807.jpg	buerojob.jpg	„Wer auf Dauer im Beruf unglücklich ist	"Who is unhappy in the course of a long time, risks a lot"	 
118808.jpg	silvester-sidney-ap-neu.jpg	Sydneys Feuerwerks-Meister unterläuft peinlicher Fehler	Sydney's Fireworks Master underscores embarrassing mistakes	 
118809.jpg	kim-jong-un-bei-rede-010119.jpg	Kim Jong Un droht mit Abkehr vom Annäherungskurs	Kim Jong un threatens with departure from the approximation course	Kim Jong
118810.jpg	foess-silvester-decker.jpg	Über 13.000 Fans verabschieden Bassist Hartmut Priess	Over 13,000 fans say goodbye Bassist Hartmut Priess	Hartmut Priess
118812.jpg	tokio-dpa-unfall.jpg	Mann rast mit Auto in Menschenmenge	Man resting with car in crowd	 
118813.jpg	boeller-dpa-neu.jpg	Zwei Männer durch selbstgebaute Böller schwer verletzt	Two men seriously injured by self-built Böller	Böller
118814.jpg	feuerwehr-dpa-symbol-010119.jpg	Silvesterfeier mit betrunkenem Gastgeber eskaliert	New Year's Eve celebration with drunk host escalated	 
118816.jpg	opladen-bahnhof-aufzug.jpg	In Opladen wächst die Bahnstadt – Autobahn bleibt Dauerthema	In Opladen the train city - highway remains permanent topic	 
118817.jpg	rennes-afp-neu.jpg	Acht Menschen sitzen in 50 Meter Höhe in Karussell fest	Eight people sit in 50 meters high in carousel	 
118818.jpg	bahnuebergang-symbolbild-dpa.jpg	Mann stirbt am Neujahrsmorgen an Bahnübergang	Man dies at the New Year morning at railroad crossing	 
118819.jpg	pool-billard-weltmeister-281218.jpg	Sankt Augustiner ist jüngster Weltmeister im Billardsport	Sankt Augustiner is the youngest world champion in billard sports	Sankt Augustiner
118820.jpg	duerscheid-dorfplatz-271218.jpg	Förderagentur Leader will Dürscheid helfen – Infotreffen Ende Januar	Funding agency Leader wants to help shelter - Info meeting at the end of January	 
118821.jpg	veranstaltungskalender-2019-nationalpark-eifel-2.jpg	Diese Veranstaltungen erwarten Gäste im Nationalpark Eifel	These events await guests in the National Park Eifel	 
118822.jpg	feuerwehr-silvester-tiefgarage-1.jpg	Feuerwehr spricht von ruhigem Silvester – Brand in Garage	Fire Department speaks of calm New Year's Eve - fire in garage	 
118823.jpg	koeln-feuerwerk-weiser-2.jpg	So schön hat Köln den Jahreswechsel gefeiert	Köln celebrated the turn of the year	Köln
118824.jpg	balkon-brennt.jpg	Balkon stand in Flammen – Silvesterrakete wohl Auslöser	Balcony stood in flames - New Year's rocket probably trigger	Balcony
118825.jpg	silvester-2018.jpg	Zahl gemeldeter Brände mehr als versiebenfacht	Number of reported fires more than sidelines	 
118826.jpg	milchstrasse-ueber-kreta.jpg	Kölner Fotograf reist für Bilder vom Sternenhimmel um die ganze Welt	Cologne photographer travels for pictures of the starry sky around the whole world	 
118827.jpg	goering-eckardt-november-2018.jpg	Göring-Eckardt will neue Behörden nur noch im Osten ansiedeln	Göring-Eckardt wants to settle new authorities only in the east	Göring-Eckardt
118828.jpg	symbolbild-u-bahn.jpg	Mann gerät in Düsseldorf unter U-Bahn – lebensgefährlich verletzt	Man device in Düsseldorf under subway - injured life-threatening	 
118829.jpg	manchester-1.jpg	Polizei stuft Messerattacke in Manchester als Terrorismus ein	Police rank knife attack in Manchester as terrorism	 
118830.jpg	unfall-burscheid-b51-3.jpg	Zwei Schwerverletzte nach Kollision auf B51 bei Burscheid	Two seriously injured after collision on B51 at Burscheid	 
118831.jpg	tatort-1.jpg	Bud Spencer	Bud Spencer, Karl May and a bit of crime	Bud Spencer,Karl May
118833.jpg	robert-habeck-0119.jpg	Habeck widerspricht Nahles zu bedingungslosem Grundeinkommen	Habel contradicts Nahles to unconditional basic income	Habel,Nahles
118834.jpg	kloster-maria-frieden.jpg	Wie die Abtei „Maria Frieden“ ihren Namen erhielt	How the Abbey "Maria Peace" received its name	 
118835.jpg	b2-tweet-silvester.jpg	US-Militär entschuldigt sich für zynischen Tweet	US military apologizes for cynical tweet	 
118836.jpg	rennbahn-1.jpg	Silvesterzauber auf der Rennbahn	New Year's Estant on the racetrack	 
118837.jpg	susanne-dettlaff-281218.jpg	Wirtschaftsförderin Susanne Dettlaff verlässt Frechener Rathaus	Economic Funding Susanne Dettlaff leaves Frechen Town Hall	Susanne Dettlaff
118838.jpg	unfall-rhein-berg-silvester.jpg	Zahlen leicht unter Durchschnitt – Brände und Einbrüche	Pay slightly below average - fires and burglaries	 
118840.jpg	feuerwehr-symbolbild-dpa.jpg	Mädchen bewahrt Elternhaus vor Feuer	Girl preserves parents house in front of fire	 
118841.jpg	010119silvesternacht101.jpg	Touristin auf Toilette vergewaltigt	Tourist raped on toilet	 
118842.jpg	rettungskraefte-silvesternacht.jpg	Angriffe auf Einsatzkräfte und Streitschlichter in der Neujahrsnacht	Attacks on emergency services and dispute in the New Year's Night	 
118843.jpg	polizist-zieht-waffe-vor-polizeiauto.jpg	Quettinger bedroht Nachbarn mit Schreckschusspistole	Quettinger threatens neighbors with shot throttle	Quettinger
118844.jpg	schindler-kiel.jpg	Verstärkt Kevin Schindler im Januar den 1. FC Köln?	Will Kevin Schindler reinforce the 1st FC Cologne in January?	Kevin Schindler
118845.jpg	5f9c42006fe98e4a.jpg	Kobayashi siegt erneut knapp vor Eisenbichler	Kobayashi wins again in front of railway	Kobayashi
118846.jpg	kita-symbol.jpg	So setzen die Bundesländer das „Gute-Kita-Gesetz“ um	So the federal states put the "good-kita law"	 
118847.jpg	verkehrsminister-andreas-scheuer.jpg	„Pkw-Maut startet im Oktober 2020“	"Car toll starts in October 2020"	 
